"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2016193914","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","4012 W 38TH AVE                                   ","3129427.00","1705450.00","1","113","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016193931","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","1406 W 38TH AVE                                   ","3139631.00","1705430.00","1","113","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"201619497","1/9/2016 12:00:00 AM","1/10/2016 12:00:00 AM","1/10/2016 12:00:00 AM","318 N GROVE ST                                    ","3133339.00","1688147.00","4","411","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2016196270","3/30/2016 12:00:00 AM","3/30/2016 12:00:00 AM","3/30/2016 12:00:00 AM","5140 N CLARKSON ST                                ","3147033.00","1713064.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016198150","3/31/2016 12:00:00 AM","3/31/2016 12:00:00 AM","3/31/2016 12:00:00 AM","1270 W CEDAR AVE                                  ","3139673.00","1684892.00","4","411","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016200139","3/31/2016 12:00:00 AM","1/1/1900 12:00:00 AM","3/31/2016 12:00:00 AM","1350 N XENIA ST                                   ","3172805.00","1694331.00","2","223","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2016207131","4/3/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/4/2016 12:00:00 AM","1660 N PEARL ST                                   ","3146341.00","1695869.00","6","621","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016208004","4/3/2016 12:00:00 AM","4/4/2016 12:00:00 AM","4/4/2016 12:00:00 AM","811 W BAYAUD AVE                                  ","3141311.00","1685661.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016212100","4/6/2016 12:00:00 AM","4/6/2016 12:00:00 AM","4/6/2016 12:00:00 AM","6359 E EVANS AVE                                  ","3164786.00","1672602.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016212603","4/6/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/6/2016 12:00:00 AM","2028 E COLFAX AVE                                 ","3151143.00","1694813.00","6","622","2506    ","FORGERY - POSS OF FORGED INST","All Other Crimes","INDUSTRY","","","",""
